Season,River,Regulation,RT.location,Date,Month,Net.Type,Lat,Long,Elevation,Time.removed.from.net,Recapture,Microchip.Number,Platypus.Number,Weight.(plat.+.bag),Weight.(bag),WeightF,Sex,Age,TVI,Bill.Width.(mm),Bill.Length.w.shield.,Bill.Length.w/o.shield.,Total.body.length,Tail.length,TailWMid,PCV,TPC,Urea,Creatinine,Albumin
First,SevernDS,R,Ashford 416067,1/15/2016,1,F,-29.320267,151.142782,420,2:00:00 AM,,7923D41,S01,0.79,0.17,0.62,F,J,3,43,58,43,340,116,67,,,,,
First,SevernDS,R,Ashford 416067,1/22/2016,1,G,-29.296528,151.144227,415,8:00:00 PM,,7922B3E,S02,1.75,0.09,1.66,M,A,3,54,75,60,520,130,80,40,7,,,
First,SevernDS,R,Ashford 416067,1/22/2016,1,G,-29.296528,151.144227,415,8:00:00 PM,,7923DEC,S03,1.17,0.1,1.07,F,A,2,49,65,54,465,138,77,42,7.8,,,
First,SevernDS,R,Ashford 416067,1/22/2016,1,G,-29.296528,151.144227,415,8:45:00 PM,,7923C2A,S04,1.44,0.2,1.24,F,A,1,50,65,50,500,130,74,31,6.6,31.2,,34
First,SevernDS,R,Ashford 416067,1/23/2016,1,G,-29.189063,151.132304,393,9:37:00 PM,,7922D58,S05,1.53,0.14,1.39,F,A,4,50,55,72,468,110,68,42,7.1,32.5,65,35
First,SevernDS,R,Ashford 416067,1/23/2016,1,G,-29.189063,151.132304,393,10:00:00 PM,,7923BF0,S06,1.94,0.14,1.8,M,A,3,60,85,65,550,145,70,45,6.7,,,
First,SevernDS,R,Ashford 416067,1/24/2016,1,G,-29.232346,151.114818,403,10:20:00 PM,,7923D9F,S07,1.95,0.18,1.77,M,A,2,54,80,65,540,135,70,41,6.2,,,
First,SevernDS,R,Ashford 416067,1/24/2016,1,G,-29.232346,151.114818,403,11:00:00 PM,,7923C6F,S08,0.97,0.13,0.84,M,A,3.5,48,65,50,460,120,60,40,6.1,15.9,60,34
First,SevernDS,R,Ashford 416067,1/27/2016,1,G,-29.27808,151.117899,405,12:00:00 AM,,7922C51,S09,1.46,0.12,1.34,F,A,3.5,50,70,55,480,145,78,41,6.2,29.1,,35
First,SevernDS,R,Ashford 416067,2/9/2016,2,G,-29.179456,151.111784,393,6:40:00 PM,,7922BFF,S10,1.76,0.12,1.64,M,A,4,55,78,60,515,125,75,46,6.8,34.8,,38
First,SevernDS,R,Ashford 416067,2/9/2016,2,G,-29.179456,151.111784,393,8:25:00 PM,,7922E4C,S11,1.35,0.08,1.27,F,A,4,46,70,52,480,140,60,45,6.3,29,55,34
First,SevernDS,R,Ashford 416067,2/9/2016,2,G,-29.179456,151.111784,393,8:45:00 PM,,7923C9C,S12,1.8,0.12,1.68,M,A,3,52,80,60,520,130,70,43,6.9,34.3,75,38
First,SevernDS,R,Ashford 416067,2/10/2016,2,G,-29.303547,151.138189,416,8:15:00 PM,,7922B1E,S13,1.51,0.08,1.43,M,A,4.5,56,80,62,516,145,75,42,7,26,40,19
First,SevernDS,R,Ashford 416067,2/12/2016,2,G,-29.302878,151.124002,410,8:30:00 PM,,7922CBA,S14,1.93,0.1,1.83,M,A,2,60,82,63,560,160,80,37,6.6,27.2,65,32
First,SevernDS,R,Ashford 416067,2/12/2016,2,G,-29.302878,151.124002,410,9:15:00 PM,,7.92E+94,S15,1.15,0.1,1.05,M,J,3,50,67,53,455,135,80,45,7,22.7,40,18
First,SevernDS,R,Ashford 416067,2/13/2016,2,G,-29.249669,151.133357,413,8:15:00 PM,,7923D09,S16,2.2,0.09,2.11,M,A,1,60,88,70,570,155,90,38,6.4,29.4,35,13
First,SevernDS,R,Ashford 416067,2/13/2016,2,G,-29.249669,151.133357,413,10:40:00 PM,,7922E9B,S17,1.35,0.11,1.24,F,A,4.5,46,70,55,460,110,65,45,5.5,18,15,11
First,SevernDS,R,Ashford 416067,2/13/2016,2,G,-29.249669,151.133357,413,12:45:00 AM,,,S18,1.35,0.13,1.22,F,A,3,51,67,54,460,125,70,,,,,
First,SevernUS,R,Strathbogie 416039,2/23/2016,2,G,-29.474119,151.485041,729,10:15:00 PM,,7922CB6,S19,1.04,0.11,0.93,M,A,5,45,60,50,430,120,70,41,5.2,26.4,40,32
First,SevernUS,R,Strathbogie 416039,2/23/2016,2,G,-29.474119,151.485041,729,12:00:00 AM,,7923DB3,S20,1.51,0.17,1.34,F,A,1,50,70,55,465,125,70,45,6.4,28.1,40,14
First,SevernUS,R,Strathbogie 416039,2/23/2016,2,G,-29.474119,151.485041,729,12:45:00 AM,,7922BCE,S21,1.24,0.11,1.13,F,A,1,45,65,50,440,110,70,46,4.4,31.5,20,33
First,SevernUS,R,Strathbogie 416039,2/24/2016,2,G,-29.49832,151.562924,788,9:15:00 PM,,7923C11,S22,1.94,0.1,1.84,M,A,3,55,80,65,550,160,95,45,6.9,31.5,55,31
First,SevernUS,R,Strathbogie 416040,2/26/2016,2,G,-29.493532,151.543319,781,10:45:00 PM,,7.92E+03,S23,1.9,0.1,1.8,M,A,2,57,80,64,560,170,90,42,6.4,33.3,65,31
First,SevernUS,R,Strathbogie 416041,2/26/2016,2,G,-29.493532,151.543319,781,11:00:00 PM,,7923C46,S24,1.29,0.14,1.15,M,J,3,50,67,53,470,130,68,40,5.4,23.7,,26
First,SevernUS,R,Strathbogie 416042,3/10/2016,3,G,-29.506811,151.589001,796,10:30:00 PM,,7923CAE,S25,1.37,0.15,1.22,F,A,4,45,65,50,475,140,80,40,7,28.6,25,19
First,SevernUS,R,Strathbogie 416043,3/10/2016,3,G,-29.506811,151.589001,796,7:50:00 PM,,7922CC1,S26,1.94,0.08,1.86,M,A,3,60,85,65,540,160,80,44,7.5,29.1,55,17
First,SevernUS,R,Strathbogie 416044,3/10/2016,3,G,-29.506811,151.589001,796,10:30:00 PM,,7.92E+40,S27,1.26,0.1,1.16,F,A,2,45,68,53,460,140,75,44,8.4,,,
